c_custkey,c_name,c_nationkey,c_mktsegment,c_acctbal
290,Customer#000000290,14,AUTOMOBILE,9203.45
291,Customer#000000291,14,FURNITURE,3811.84
292,Customer#000000292,12,HOUSEHOLD,303.91
293,Customer#000000293,1,AUTOMOBILE,-645.61
294,Customer#000000294,17,AUTOMOBILE,4948.99
295,Customer#000000295,4,AUTOMOBILE,7196.24
296,Customer#000000296,1,FURNITURE,4020.45
297,Customer#000000297,10,BUILDING,4746.59
298,Customer#000000298,0,MACHINERY,9193.95
299,Customer#000000299,6,BUILDING,2171.83
300,Customer#000000300,2,MACHINERY,-878.24
301,Customer#000000301,13,FURNITURE,9287.71
302,Customer#000000302,1,HOUSEHOLD,859.61
303,Customer#000000303,8,HOUSEHOLD,2617.56
304,Customer#000000304,1,AUTOMOBILE,7855.11
305,Customer#000000305,22,HOUSEHOLD,3798.5
306,Customer#000000306,24,MACHINERY,9792.29
307,Customer#000000307,14,MACHINERY,8308.84
308,Customer#000000308,18,HOUSEHOLD,5061.92
309,Customer#000000309,4,AUTOMOBILE,3481.79
310,Customer#000000310,11,MACHINERY,4286.02
311,Customer#000000311,22,BUILDING,5323.64
312,Customer#000000312,17,HOUSEHOLD,9918.03
313,Customer#000000313,12,FURNITURE,1109.21
314,Customer#000000314,18,AUTOMOBILE,1570.21
315,Customer#000000315,0,MACHINERY,2436.9
316,Customer#000000316,18,MACHINERY,3184.35
317,Customer#000000317,7,MACHINERY,7881.08
318,Customer#000000318,8,AUTOMOBILE,6167.33
319,Customer#000000319,8,HOUSEHOLD,5390.98
320,Customer#000000320,10,AUTOMOBILE,3142.86
321,Customer#000000321,7,BUILDING,7812.8
322,Customer#000000322,16,BUILDING,8478.24
323,Customer#000000323,10,MACHINERY,8771.87
324,Customer#000000324,11,FURNITURE,9826.22
325,Customer#000000325,12,FURNITURE,5581.96
326,Customer#000000326,12,FURNITURE,3433.08
327,Customer#000000327,20,FURNITURE,3524.76
328,Customer#000000328,10,MACHINERY,4165.63
329,Customer#000000329,23,BUILDING,248.35
330,Customer#000000330,2,MACHINERY,9180.86
331,Customer#000000331,10,HOUSEHOLD,-990.09
332,Customer#000000332,6,AUTOMOBILE,819.2
333,Customer#000000333,2,HOUSEHOLD,5919.39
334,Customer#000000334,15,HOUSEHOLD,6020.98
335,Customer#000000335,4,AUTOMOBILE,2169.5
336,Customer#000000336,9,AUTOMOBILE,874.79
337,Customer#000000337,18,FURNITURE,9389.6
338,Customer#000000338,9,AUTOMOBILE,9518.9
339,Customer#000000339,11,BUILDING,7326.75
340,Customer#000000340,22,BUILDING,5555.48
341,Customer#000000341,13,BUILDING,3758.62
342,Customer#000000342,12,FURNITURE,8605.31
343,Customer#000000343,20,AUTOMOBILE,1505.62
344,Customer#000000344,20,FURNITURE,8715.84
345,Customer#000000345,9,MACHINERY,-579.64
346,Customer#000000346,18,AUTOMOBILE,2854.47
347,Customer#000000347,3,HOUSEHOLD,6155.99
348,Customer#000000348,7,MACHINERY,724.37
349,Customer#000000349,16,BUILDING,5855.97
350,Customer#000000350,24,MACHINERY,6648.44
351,Customer#000000351,13,AUTOMOBILE,6315.34
352,Customer#000000352,9,FURNITURE,529.54
353,Customer#000000353,9,FURNITURE,553.06
354,Customer#000000354,12,BUILDING,1800.72
355,Customer#000000355,13,MACHINERY,-589.33
356,Customer#000000356,12,BUILDING,8198.65
357,Customer#000000357,14,AUTOMOBILE,4437.36
358,Customer#000000358,20,MACHINERY,3673.82
359,Customer#000000359,16,BUILDING,7878.56
360,Customer#000000360,5,BUILDING,3653.77
361,Customer#000000361,14,FURNITURE,805.05
362,Customer#000000362,12,HOUSEHOLD,30.23
363,Customer#000000363,16,AUTOMOBILE,1658.95
364,Customer#000000364,16,AUTOMOBILE,4874.15
365,Customer#000000365,17,AUTOMOBILE,2963.84
366,Customer#000000366,10,FURNITURE,9766.61
367,Customer#000000367,8,HOUSEHOLD,1861.81
368,Customer#000000368,8,AUTOMOBILE,2901.52
369,Customer#000000369,23,AUTOMOBILE,4569.75
370,Customer#000000370,12,HOUSEHOLD,2379.0
371,Customer#000000371,5,HOUSEHOLD,3214.34
372,Customer#000000372,21,FURNITURE,4732.19
373,Customer#000000373,0,FURNITURE,2479.28
374,Customer#000000374,18,HOUSEHOLD,8035.64
375,Customer#000000375,1,HOUSEHOLD,6724.07
376,Customer#000000376,1,AUTOMOBILE,9103.63
377,Customer#000000377,9,BUILDING,-998.01
378,Customer#000000378,0,FURNITURE,8363.85
379,Customer#000000379,15,HOUSEHOLD,1302.27
380,Customer#000000380,15,BUILDING,9679.81
381,Customer#000000381,13,FURNITURE,3833.3
382,Customer#000000382,21,MACHINERY,8039.04
383,Customer#000000383,8,FURNITURE,5443.01
384,Customer#000000384,11,HOUSEHOLD,980.34
385,Customer#000000385,8,BUILDING,4355.64
386,Customer#000000386,21,FURNITURE,9166.57
387,Customer#000000387,20,MACHINERY,6912.56
388,Customer#000000388,23,AUTOMOBILE,1167.07
389,Customer#000000389,10,AUTOMOBILE,6958.44
390,Customer#000000390,6,MACHINERY,-116.42
391,Customer#000000391,11,BUILDING,9754.42
392,Customer#000000392,4,MACHINERY,1036.96
393,Customer#000000393,2,HOUSEHOLD,2631.77
394,Customer#000000394,14,AUTOMOBILE,8253.9
395,Customer#000000395,5,MACHINERY,1977.55
396,Customer#000000396,17,FURNITURE,2317.47
397,Customer#000000397,19,FURNITURE,7914.66
398,Customer#000000398,24,AUTOMOBILE,7541.66
399,Customer#000000399,11,HOUSEHOLD,7142.11
400,Customer#000000400,14,AUTOMOBILE,8914.01
401,Customer#000000401,4,HOUSEHOLD,5540.73
402,Customer#000000402,19,MACHINERY,575.72
403,Customer#000000403,19,MACHINERY,6923.09
404,Customer#000000404,14,FURNITURE,8246.54
405,Customer#000000405,1,HOUSEHOLD,3767.12
406,Customer#000000406,7,FURNITURE,-587.18
407,Customer#000000407,23,HOUSEHOLD,6681.24
408,Customer#000000408,14,AUTOMOBILE,8020.37
409,Customer#000000409,16,HOUSEHOLD,-700.82
410,Customer#000000410,10,FURNITURE,9981.35
411,Customer#000000411,22,MACHINERY,4491.71
412,Customer#000000412,21,FURNITURE,1594.92
413,Customer#000000413,15,MACHINERY,5062.88
414,Customer#000000414,16,BUILDING,8851.74
415,Customer#000000415,17,FURNITURE,3166.52
416,Customer#000000416,8,MACHINERY,4838.7
417,Customer#000000417,2,AUTOMOBILE,4928.02
418,Customer#000000418,5,HOUSEHOLD,7078.72
419,Customer#000000419,5,AUTOMOBILE,-681.01
420,Customer#000000420,13,AUTOMOBILE,3986.6
421,Customer#000000421,0,FURNITURE,3195.72
422,Customer#000000422,19,MACHINERY,5531.98
423,Customer#000000423,6,BUILDING,2642.84
424,Customer#000000424,11,MACHINERY,8688.25
425,Customer#000000425,20,HOUSEHOLD,6385.45
426,Customer#000000426,3,HOUSEHOLD,7817.15
427,Customer#000000427,22,FURNITURE,2083.31
428,Customer#000000428,9,FURNITURE,3519.02
429,Customer#000000429,8,MACHINERY,5744.3
430,Customer#000000430,23,HOUSEHOLD,9994.38
431,Customer#000000431,3,AUTOMOBILE,2193.87
432,Customer#000000432,18,MACHINERY,6152.45
433,Customer#000000433,20,MACHINERY,4342.01
434,Customer#000000434,1,MACHINERY,6223.21
435,Customer#000000435,16,MACHINERY,730.25
436,Customer#000000436,11,FURNITURE,5767.9
437,Customer#000000437,15,HOUSEHOLD,8827.23
438,Customer#000000438,5,FURNITURE,1372.43
439,Customer#000000439,24,MACHINERY,-447.25
440,Customer#000000440,5,AUTOMOBILE,6543.55
441,Customer#000000441,12,FURNITURE,3891.5
442,Customer#000000442,0,AUTOMOBILE,1842.91
443,Customer#000000443,10,MACHINERY,-793.99
444,Customer#000000444,8,AUTOMOBILE,3552.11
445,Customer#000000445,23,BUILDING,3001.12
446,Customer#000000446,23,MACHINERY,1907.38
447,Customer#000000447,22,HOUSEHOLD,2872.12
448,Customer#000000448,1,HOUSEHOLD,6811.07
449,Customer#000000449,24,HOUSEHOLD,2735.26
450,Customer#000000450,24,AUTOMOBILE,7877.95
451,Customer#000000451,0,HOUSEHOLD,8365.01
452,Customer#000000452,12,MACHINERY,8704.54
453,Customer#000000453,5,BUILDING,1183.25
454,Customer#000000454,4,AUTOMOBILE,-267.5
455,Customer#000000455,11,BUILDING,8217.06
456,Customer#000000456,9,BUILDING,3911.56
457,Customer#000000457,19,HOUSEHOLD,6029.96
458,Customer#000000458,1,MACHINERY,9388.84
459,Customer#000000459,16,HOUSEHOLD,6063.64
460,Customer#000000460,3,FURNITURE,6304.74
461,Customer#000000461,7,FURNITURE,7614.21
462,Customer#000000462,20,AUTOMOBILE,-103.95
463,Customer#000000463,18,HOUSEHOLD,6385.96
464,Customer#000000464,9,FURNITURE,4045.66
465,Customer#000000465,24,BUILDING,839.71
466,Customer#000000466,24,BUILDING,4810.53
467,Customer#000000467,3,MACHINERY,-207.57
468,Customer#000000468,13,FURNITURE,5205.67
469,Customer#000000469,6,HOUSEHOLD,6789.3
470,Customer#000000470,20,BUILDING,6945.17
471,Customer#000000471,13,FURNITURE,1802.31
472,Customer#000000472,0,HOUSEHOLD,9246.22
473,Customer#000000473,8,BUILDING,1566.16
474,Customer#000000474,17,AUTOMOBILE,3110.88
475,Customer#000000475,20,MACHINERY,5772.84
476,Customer#000000476,17,MACHINERY,817.25
477,Customer#000000477,13,BUILDING,2686.1
478,Customer#000000478,21,MACHINERY,104.8
479,Customer#000000479,9,HOUSEHOLD,7076.98
480,Customer#000000480,15,MACHINERY,5501.68
481,Customer#000000481,7,BUILDING,7762.12
482,Customer#000000482,7,AUTOMOBILE,2399.12
483,Customer#000000483,21,FURNITURE,374.58
484,Customer#000000484,23,AUTOMOBILE,9752.03
485,Customer#000000485,5,HOUSEHOLD,3298.88
486,Customer#000000486,10,MACHINERY,7343.96
487,Customer#000000487,2,FURNITURE,1542.79
488,Customer#000000488,3,AUTOMOBILE,8532.57
489,Customer#000000489,16,FURNITURE,7794.76
490,Customer#000000490,13,AUTOMOBILE,3337.63
491,Customer#000000491,16,FURNITURE,3019.52
492,Customer#000000492,24,FURNITURE,7383.37
493,Customer#000000493,6,MACHINERY,3854.56
494,Customer#000000494,1,FURNITURE,5476.05
495,Customer#000000495,1,MACHINERY,-478.16
496,Customer#000000496,5,FURNITURE,6720.14
497,Customer#000000497,20,FURNITURE,8493.53
498,Customer#000000498,1,MACHINERY,3270.12
499,Customer#000000499,1,HOUSEHOLD,8341.19
500,Customer#000000500,5,HOUSEHOLD,5823.06
501,Customer#000000501,0,HOUSEHOLD,-159.72
502,Customer#000000502,12,FURNITURE,3477.54
503,Customer#000000503,5,FURNITURE,241.95
504,Customer#000000504,7,FURNITURE,-964.44
505,Customer#000000505,13,MACHINERY,-46.2
506,Customer#000000506,17,FURNITURE,1152.59
507,Customer#000000507,7,HOUSEHOLD,2641.01
508,Customer#000000508,5,MACHINERY,2614.2
509,Customer#000000509,2,BUILDING,4636.06
510,Customer#000000510,4,FURNITURE,2437.32
511,Customer#000000511,24,FURNITURE,-538.36
512,Customer#000000512,9,MACHINERY,8216.57
513,Customer#000000513,7,MACHINERY,3789.56
514,Customer#000000514,21,MACHINERY,5332.47
515,Customer#000000515,1,HOUSEHOLD,6280.89
516,Customer#000000516,4,BUILDING,1191.68
517,Customer#000000517,20,MACHINERY,7216.05
518,Customer#000000518,20,AUTOMOBILE,444.77
519,Customer#000000519,5,MACHINERY,-306.28
520,Customer#000000520,3,MACHINERY,1778.43
521,Customer#000000521,13,BUILDING,6775.92
522,Customer#000000522,15,MACHINERY,4041.7
523,Customer#000000523,17,HOUSEHOLD,5999.84
524,Customer#000000524,1,FURNITURE,8111.21
525,Customer#000000525,17,AUTOMOBILE,1717.92
526,Customer#000000526,11,AUTOMOBILE,9771.97
527,Customer#000000527,18,AUTOMOBILE,7500.97
528,Customer#000000528,2,FURNITURE,4122.91
529,Customer#000000529,22,MACHINERY,-89.07
530,Customer#000000530,19,HOUSEHOLD,5854.1
531,Customer#000000531,0,MACHINERY,7678.6
532,Customer#000000532,12,FURNITURE,6848.92
533,Customer#000000533,4,AUTOMOBILE,2098.59
534,Customer#000000534,12,BUILDING,4851.01
535,Customer#000000535,1,MACHINERY,6783.96
536,Customer#000000536,10,FURNITURE,6593.59
537,Customer#000000537,5,MACHINERY,-937.91
538,Customer#000000538,3,BUILDING,9732.8
539,Customer#000000539,21,MACHINERY,6829.95
540,Customer#000000540,8,MACHINERY,1703.41
541,Customer#000000541,7,MACHINERY,3499.29
542,Customer#000000542,5,HOUSEHOLD,-903.27
543,Customer#000000543,16,AUTOMOBILE,2200.96
544,Customer#000000544,1,FURNITURE,2538.42
545,Customer#000000545,21,MACHINERY,7088.9
546,Customer#000000546,21,AUTOMOBILE,3161.51
547,Customer#000000547,0,MACHINERY,7054.47
548,Customer#000000548,15,MACHINERY,5328.02
549,Customer#000000549,2,BUILDING,157.13
550,Customer#000000550,12,MACHINERY,746.83
551,Customer#000000551,14,BUILDING,5405.29
552,Customer#000000552,21,FURNITURE,9018.66
553,Customer#000000553,21,MACHINERY,9519.4
554,Customer#000000554,5,MACHINERY,8789.23
555,Customer#000000555,12,AUTOMOBILE,8442.52
556,Customer#000000556,9,HOUSEHOLD,2085.41
557,Customer#000000557,13,AUTOMOBILE,9338.29
558,Customer#000000558,10,MACHINERY,-801.19
559,Customer#000000559,6,MACHINERY,2515.64
