o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority
38,649,O,84391.65,1998-08-08,1-URGENT
39,687,P,6867.86,1993-09-24,2-HIGH
40,477,O,91489.61,1993-10-10,5-LOW
41,139,F,9163.92,1994-04-10,1-URGENT
42,59,O,58077.0,1998-12-01,4-NOT SPECIFIED
43,25,O,47453.17,1996-09-14,5-LOW
44,589,P,3430.4,1994-12-03,2-HIGH
45,421,P,20268.56,1992-06-19,5-LOW
46,225,P,75265.93,1998-09-01,2-HIGH
47,605,P,78053.5,1995-12-16,3-MEDIUM
48,98,O,38334.63,1994-07-01,3-MEDIUM
49,198,P,36859.54,1996-11-03,1-URGENT
50,787,P,63619.23,1998-06-05,5-LOW
51,931,P,41036.36,1995-07-09,3-MEDIUM
52,347,O,15570.11,1994-10-07,3-MEDIUM
53,312,F,15936.37,1996-06-23,5-LOW
54,933,P,8160.72,1995-03-20,1-URGENT
55,822,O,74062.36,1995-10-15,1-URGENT
56,573,O,46267.84,1997-03-25,1-URGENT
57,67,O,45139.38,1994-11-16,4-NOT SPECIFIED
58,952,F,76795.21,1998-04-14,3-MEDIUM
59,83,F,44604.31,1994-01-11,3-MEDIUM
60,691,F,80520.36,1995-02-02,2-HIGH
61,148,P,53660.61,1995-05-15,1-URGENT
62,365,O,17647.55,1996-07-06,5-LOW
63,315,F,87525.09,1998-02-17,1-URGENT
64,517,O,17125.83,1997-08-17,1-URGENT
65,243,F,57201.76,1995-09-03,2-HIGH
66,108,P,31346.63,1995-04-09,2-HIGH
67,773,P,87437.1,1995-01-27,4-NOT SPECIFIED
68,551,F,19195.84,1992-10-20,5-LOW
69,265,P,50874.43,1998-08-20,2-HIGH
70,692,O,26987.5,1992-10-04,4-NOT SPECIFIED
71,994,P,94558.26,1998-08-26,5-LOW
72,450,O,33766.83,1994-03-26,2-HIGH
73,694,O,37664.05,1992-04-15,5-LOW
74,6,O,1348.85,1993-02-22,4-NOT SPECIFIED
75,76,F,75397.72,1996-03-11,5-LOW
76,315,F,29967.27,1997-12-27,1-URGENT
77,647,O,2061.6,1996-04-25,2-HIGH
78,794,P,93935.89,1997-06-21,4-NOT SPECIFIED
79,793,O,9491.43,1998-12-20,2-HIGH
80,651,O,36292.99,1994-11-21,2-HIGH
81,267,F,23665.7,1994-11-10,1-URGENT
82,744,F,10435.71,1997-06-11,5-LOW
83,871,O,23207.31,1995-12-15,2-HIGH
84,280,O,99105.78,1997-06-16,2-HIGH
85,695,F,6979.89,1992-03-21,4-NOT SPECIFIED
86,242,O,60147.59,1993-05-12,1-URGENT
87,412,O,56830.48,1995-06-25,3-MEDIUM
88,914,O,56389.15,1995-09-20,5-LOW
89,923,O,37136.51,1994-03-14,2-HIGH
90,317,P,2077.93,1994-12-17,5-LOW
91,253,O,39344.14,1994-01-18,2-HIGH
92,415,F,42351.32,1997-09-11,2-HIGH
93,684,O,77862.99,1993-08-15,2-HIGH
94,983,O,66948.19,1993-05-09,3-MEDIUM
95,645,P,32820.67,1993-05-04,4-NOT SPECIFIED
96,739,P,80924.36,1994-02-12,5-LOW
97,421,O,53167.71,1998-12-12,2-HIGH
98,823,F,75392.51,1993-09-12,4-NOT SPECIFIED
99,248,O,84644.88,1996-12-22,1-URGENT
100,267,O,2329.92,1992-06-17,1-URGENT
101,511,F,69872.98,1995-02-14,3-MEDIUM
102,928,O,90663.55,1992-02-05,1-URGENT
103,259,F,1599.91,1996-02-02,4-NOT SPECIFIED
104,789,F,77483.66,1995-02-20,5-LOW
105,566,P,86662.4,1994-03-18,4-NOT SPECIFIED
106,415,P,3119.66,1997-11-08,3-MEDIUM
107,86,O,96494.03,1997-06-10,2-HIGH
108,507,P,83439.61,1993-05-13,3-MEDIUM
109,670,P,48621.38,1992-01-04,1-URGENT
110,170,O,43756.83,1992-11-28,1-URGENT
111,763,F,63477.48,1998-11-07,5-LOW
112,200,O,30889.15,1994-03-24,4-NOT SPECIFIED
113,685,P,91634.78,1998-11-01,2-HIGH
114,886,F,25989.28,1995-12-04,5-LOW
115,477,F,98838.37,1993-08-01,4-NOT SPECIFIED
116,672,F,38591.2,1998-01-17,3-MEDIUM
117,549,F,7920.57,1995-02-27,1-URGENT
118,853,O,89634.31,1994-01-28,5-LOW
119,7,O,22746.15,1992-12-19,3-MEDIUM
120,453,O,72951.23,1994-03-23,5-LOW
121,481,F,6397.6,1998-03-08,5-LOW
122,835,F,1669.02,1998-04-23,5-LOW
123,170,F,42691.55,1994-01-12,4-NOT SPECIFIED
124,47,O,86864.51,1998-01-12,5-LOW
125,603,F,95571.64,1993-01-01,2-HIGH
126,770,F,62835.78,1998-04-08,4-NOT SPECIFIED
127,898,O,32518.0,1996-07-25,2-HIGH
128,848,P,3341.13,1994-02-10,1-URGENT
129,280,P,24171.9,1993-01-17,2-HIGH
130,118,F,95370.35,1995-04-25,3-MEDIUM
131,537,P,61417.28,1993-09-02,2-HIGH
132,220,O,30556.08,1996-03-03,4-NOT SPECIFIED
133,911,P,71143.06,1992-04-13,1-URGENT
134,378,F,63821.69,1994-05-26,2-HIGH
135,604,F,32690.61,1994-02-09,5-LOW
136,227,P,57787.59,1996-06-01,3-MEDIUM
137,710,F,48858.84,1994-06-21,2-HIGH
138,74,F,98812.32,1994-12-25,4-NOT SPECIFIED
139,395,F,56490.7,1996-10-28,5-LOW
140,487,F,60432.71,1997-04-14,5-LOW
141,627,P,43268.49,1997-04-21,4-NOT SPECIFIED
142,120,P,93185.06,1997-06-03,3-MEDIUM
143,296,P,1816.77,1995-10-08,1-URGENT
144,399,P,17300.26,1994-03-11,3-MEDIUM
145,813,F,81033.01,1992-07-15,5-LOW
146,133,O,76272.72,1996-08-09,1-URGENT
147,1,F,83028.87,1996-05-16,5-LOW
148,13,F,89912.86,1992-02-03,2-HIGH
149,265,P,20571.15,1997-08-25,1-URGENT
150,966,P,78353.02,1993-04-27,1-URGENT
151,484,F,52613.95,1998-10-03,3-MEDIUM
152,683,P,28182.11,1995-08-01,5-LOW
153,674,F,43427.79,1998-11-26,3-MEDIUM
154,424,O,85510.46,1995-01-09,3-MEDIUM
155,383,O,47045.57,1997-09-06,4-NOT SPECIFIED
156,972,P,79210.3,1997-10-24,3-MEDIUM
157,131,O,41823.65,1994-10-24,2-HIGH
158,860,F,87164.87,1995-06-08,2-HIGH
159,998,P,55391.9,1998-11-09,2-HIGH
160,593,P,84418.17,1993-02-21,1-URGENT
161,186,O,44290.91,1994-02-12,3-MEDIUM
162,328,O,27887.25,1997-01-28,4-NOT SPECIFIED
163,412,O,88032.38,1998-04-14,1-URGENT
164,744,P,39566.13,1993-11-02,5-LOW
165,861,O,51210.59,1997-04-21,1-URGENT
166,929,F,31957.14,1995-06-09,4-NOT SPECIFIED
167,256,P,51486.0,1994-02-18,1-URGENT
168,371,P,19998.77,1992-11-25,1-URGENT
169,253,F,35399.6,1997-03-06,5-LOW
170,608,O,17064.83,1998-11-23,1-URGENT
171,427,F,28208.17,1994-12-20,1-URGENT
172,571,F,21889.16,1997-08-02,1-URGENT
173,341,F,12450.74,1994-01-09,3-MEDIUM
174,254,P,1206.9,1996-10-19,4-NOT SPECIFIED
175,154,P,11667.53,1997-08-25,1-URGENT
176,829,O,64191.19,1995-04-25,1-URGENT
177,739,O,53230.18,1998-07-01,1-URGENT
178,222,O,81997.86,1995-02-04,3-MEDIUM
179,682,O,37313.33,1994-04-17,4-NOT SPECIFIED
180,785,O,76827.14,1997-07-25,4-NOT SPECIFIED
181,615,O,76588.26,1998-06-04,5-LOW
182,51,F,32057.71,1994-09-09,2-HIGH
183,144,F,13839.09,1996-05-12,3-MEDIUM
184,868,F,52159.02,1997-11-12,2-HIGH
185,541,P,45720.37,1998-09-28,3-MEDIUM
186,481,O,36142.02,1994-04-10,3-MEDIUM
187,563,F,20761.07,1997-03-05,1-URGENT
188,589,O,77285.0,1997-12-05,3-MEDIUM
189,674,F,31782.2,1994-10-21,4-NOT SPECIFIED
190,466,F,60475.59,1995-03-04,3-MEDIUM
191,521,P,74234.29,1994-07-04,1-URGENT
192,539,P,16251.65,1998-03-09,2-HIGH
193,342,O,94398.72,1992-05-22,2-HIGH
194,222,O,89010.08,1995-10-07,2-HIGH
195,76,P,71176.68,1993-11-21,4-NOT SPECIFIED
196,630,F,4784.19,1995-11-24,4-NOT SPECIFIED
197,450,O,13657.98,1993-12-19,1-URGENT
198,190,P,56899.96,1997-06-08,5-LOW
199,805,P,16561.09,1997-05-12,4-NOT SPECIFIED
200,199,F,98844.27,1996-08-06,4-NOT SPECIFIED
201,254,O,20101.6,1994-11-06,4-NOT SPECIFIED
202,411,P,58809.05,1993-03-02,1-URGENT
203,435,F,34496.47,1993-12-05,1-URGENT
204,667,F,2460.52,1994-09-20,2-HIGH
205,330,F,87294.16,1994-11-13,5-LOW
206,253,O,60089.46,1994-05-08,1-URGENT
207,296,O,79034.96,1998-04-23,2-HIGH
208,825,O,59753.36,1992-03-07,2-HIGH
209,706,P,7790.28,1993-04-06,4-NOT SPECIFIED
210,39,O,90275.04,1998-12-05,4-NOT SPECIFIED
211,200,P,56276.16,1993-06-26,5-LOW
212,523,O,49030.82,1994-08-17,5-LOW
213,336,F,76235.11,1996-07-09,3-MEDIUM
214,538,P,48368.17,1997-10-16,5-LOW
215,837,O,13594.4,1992-08-03,1-URGENT
216,210,F,55579.02,1994-12-01,1-URGENT
217,721,F,93801.56,1997-10-10,3-MEDIUM
218,409,P,19516.4,1998-03-22,1-URGENT
219,600,F,62793.99,1997-09-23,2-HIGH
220,158,P,51356.45,1993-11-16,4-NOT SPECIFIED
221,463,F,43704.55,1992-04-17,5-LOW
222,32,P,23350.95,1994-06-20,5-LOW
223,792,O,60340.24,1996-09-04,3-MEDIUM
224,344,F,6204.57,1993-01-06,3-MEDIUM
225,922,F,22561.78,1995-12-11,3-MEDIUM
226,569,O,37542.38,1992-11-21,5-LOW
227,891,F,45594.62,1997-02-14,3-MEDIUM
228,460,F,9324.42,1996-11-22,2-HIGH
229,903,P,31370.15,1993-12-13,2-HIGH
230,698,P,3525.46,1993-09-23,3-MEDIUM
231,128,F,81947.13,1996-01-05,3-MEDIUM
232,235,F,73727.27,1997-12-12,4-NOT SPECIFIED
233,133,O,33657.2,1997-02-22,3-MEDIUM
234,47,O,17672.7,1995-01-25,1-URGENT
235,280,F,44302.87,1993-08-07,3-MEDIUM
236,619,P,32810.6,1998-12-04,1-URGENT
237,122,F,21651.38,1993-10-10,3-MEDIUM
238,424,P,93443.01,1998-02-23,2-HIGH
239,738,O,53825.28,1998-06-12,3-MEDIUM
240,565,F,40195.56,1994-05-07,3-MEDIUM
241,940,P,8295.12,1998-11-22,2-HIGH
242,950,F,6663.95,1998-03-05,4-NOT SPECIFIED
243,40,F,50830.37,1996-07-01,3-MEDIUM
244,93,P,18411.34,1998-02-09,2-HIGH
245,439,P,39718.12,1997-08-16,1-URGENT
246,306,F,10219.98,1992-03-12,4-NOT SPECIFIED
247,724,P,62006.74,1997-12-02,5-LOW
248,59,P,67152.86,1998-10-02,2-HIGH
249,403,O,44512.96,1998-06-07,2-HIGH
250,550,F,96431.7,1996-05-09,4-NOT SPECIFIED
251,182,F,83226.92,1992-12-05,5-LOW
252,19,P,94940.11,1995-01-25,3-MEDIUM
253,306,O,50276.19,1993-02-01,5-LOW
254,236,P,77835.82,1992-03-13,5-LOW
255,396,P,86862.18,1997-09-15,5-LOW
256,378,P,93286.2,1997-08-27,4-NOT SPECIFIED
257,326,F,69836.94,1998-10-08,2-HIGH
258,494,F,30244.55,1996-08-17,5-LOW
259,576,P,92349.72,1993-08-17,2-HIGH
260,129,F,44716.64,1997-02-26,4-NOT SPECIFIED
261,119,P,87412.35,1993-06-21,1-URGENT
262,27,P,19530.7,1995-07-03,5-LOW
263,936,O,91171.26,1997-10-16,2-HIGH
264,41,O,8393.11,1994-12-25,4-NOT SPECIFIED
265,843,O,78950.09,1992-05-20,4-NOT SPECIFIED
266,49,F,90828.45,1992-04-18,2-HIGH
267,182,O,44609.67,1992-02-03,3-MEDIUM
268,319,P,63520.53,1992-07-11,3-MEDIUM
269,842,O,4032.84,1992-02-22,3-MEDIUM
270,703,F,52738.68,1994-02-07,4-NOT SPECIFIED
271,620,O,17261.22,1996-03-12,3-MEDIUM
272,723,P,88922.45,1993-09-15,5-LOW
273,161,O,31457.8,1994-11-19,3-MEDIUM
274,592,P,90756.07,1995-03-08,3-MEDIUM
275,468,F,97020.98,1997-02-07,5-LOW
276,180,O,69845.34,1995-07-24,5-LOW
277,696,O,81778.5,1992-02-05,1-URGENT
278,119,O,66547.55,1998-07-10,3-MEDIUM
279,891,P,67437.13,1998-07-27,3-MEDIUM
280,195,P,29259.66,1995-07-05,4-NOT SPECIFIED
281,781,O,61992.21,1997-10-06,3-MEDIUM
282,813,P,52637.4,1996-10-05,4-NOT SPECIFIED
283,693,P,17913.11,1998-08-04,4-NOT SPECIFIED
284,962,P,87489.1,1998-02-14,5-LOW
285,700,P,24768.78,1994-02-23,1-URGENT
286,308,F,91895.35,1992-12-05,3-MEDIUM
287,993,P,50077.02,1992-12-17,5-LOW
288,490,F,42220.81,1998-05-21,2-HIGH
289,694,P,91630.44,1998-05-13,1-URGENT
290,538,P,43056.27,1992-07-07,4-NOT SPECIFIED
291,26,F,71292.97,1993-06-28,4-NOT SPECIFIED
292,221,O,15059.57,1998-12-18,1-URGENT
293,836,F,17933.9,1998-11-22,3-MEDIUM
294,189,P,96604.49,1996-01-19,4-NOT SPECIFIED
295,189,O,3029.7,1996-12-09,5-LOW
296,638,F,23027.35,1996-07-02,3-MEDIUM
297,720,O,16444.87,1995-10-02,5-LOW
298,448,F,94681.34,1998-03-04,4-NOT SPECIFIED
299,478,F,74598.02,1993-11-15,3-MEDIUM
300,863,O,78663.91,1994-03-26,4-NOT SPECIFIED
301,740,O,88665.61,1998-06-10,4-NOT SPECIFIED
302,531,F,89447.78,1995-04-05,1-URGENT
303,49,F,62966.22,1993-11-16,2-HIGH
304,50,O,6156.11,1995-10-28,1-URGENT
305,293,F,79084.48,1998-11-03,4-NOT SPECIFIED
306,304,P,94670.56,1995-11-15,4-NOT SPECIFIED
307,10,O,54463.73,1993-06-09,1-URGENT
308,922,P,64275.11,1998-06-17,1-URGENT
309,571,P,8348.37,1994-09-13,5-LOW
310,655,P,29655.56,1997-03-11,1-URGENT
311,103,O,88505.62,1997-07-22,1-URGENT
312,739,O,49277.29,1994-04-01,5-LOW
313,135,F,62124.57,1992-11-08,1-URGENT
314,554,O,4740.83,1998-02-02,2-HIGH
315,312,F,24667.23,1995-10-02,5-LOW
316,427,F,43852.28,1994-03-23,1-URGENT
317,725,P,74194.73,1996-09-04,1-URGENT
318,604,F,92491.56,1997-11-24,4-NOT SPECIFIED
319,89,F,96345.48,1995-10-04,4-NOT SPECIFIED
320,990,O,95792.43,1997-01-22,3-MEDIUM
321,843,O,82425.31,1993-12-27,5-LOW
322,983,F,36147.87,1995-06-17,4-NOT SPECIFIED
323,228,P,74087.68,1996-09-12,3-MEDIUM
324,833,F,82397.36,1993-04-10,2-HIGH
325,638,F,2904.92,1996-11-13,1-URGENT
326,858,P,91512.32,1995-04-18,3-MEDIUM
327,224,F,9205.39,1997-11-07,5-LOW
328,976,P,18705.47,1994-08-01,4-NOT SPECIFIED
329,11,F,78313.7,1996-10-17,1-URGENT
330,285,O,36450.13,1996-02-01,1-URGENT
331,583,F,90787.39,1993-11-09,4-NOT SPECIFIED
332,635,O,86476.68,1996-03-01,4-NOT SPECIFIED
333,321,O,15012.62,1995-11-25,4-NOT SPECIFIED
334,567,F,5754.07,1992-12-01,1-URGENT
335,818,P,4188.59,1998-10-24,1-URGENT
336,559,O,80510.15,1996-08-24,2-HIGH
337,271,O,14004.92,1992-02-13,4-NOT SPECIFIED
338,331,F,58929.41,1995-06-11,1-URGENT
339,578,O,29679.87,1998-08-02,4-NOT SPECIFIED
340,760,O,5226.47,1993-05-16,5-LOW
341,879,P,83145.86,1995-04-15,2-HIGH
342,602,O,35959.61,1995-06-01,3-MEDIUM
343,161,O,45677.53,1994-09-28,3-MEDIUM
344,510,F,58617.78,1998-11-01,1-URGENT
345,72,O,28673.18,1995-12-01,5-LOW
346,239,O,8519.85,1997-08-16,5-LOW
347,681,F,78907.41,1993-07-02,2-HIGH
348,260,P,21694.25,1993-08-18,4-NOT SPECIFIED
349,443,F,6362.76,1992-07-01,2-HIGH
350,378,O,50369.11,1998-05-18,2-HIGH
351,462,P,42339.62,1998-11-12,2-HIGH
352,448,P,51199.38,1993-06-27,3-MEDIUM
353,394,O,82558.87,1996-05-22,4-NOT SPECIFIED
354,735,O,69223.82,1995-01-08,2-HIGH
355,764,P,47673.95,1997-07-01,3-MEDIUM
356,698,F,79657.36,1997-12-16,4-NOT SPECIFIED
357,490,P,6751.55,1995-05-22,3-MEDIUM
358,982,O,76376.57,1992-08-01,4-NOT SPECIFIED
359,559,F,82180.25,1994-10-21,4-NOT SPECIFIED
360,348,P,6968.28,1998-08-24,1-URGENT
361,398,P,41353.58,1997-02-28,5-LOW
362,413,F,47649.53,1995-03-10,4-NOT SPECIFIED
363,648,P,22370.94,1995-12-10,2-HIGH
364,789,P,56892.92,1998-03-18,1-URGENT
365,920,F,11357.62,1996-03-19,3-MEDIUM
366,455,P,55071.89,1993-10-07,5-LOW
367,472,F,15660.64,1998-08-15,2-HIGH
368,708,P,52766.08,1996-04-04,4-NOT SPECIFIED
369,176,P,50239.57,1995-11-26,2-HIGH
370,878,O,18908.27,1992-05-21,1-URGENT
371,813,O,95972.66,1995-09-07,3-MEDIUM
372,604,O,3119.21,1992-01-05,3-MEDIUM
373,699,F,55516.56,1995-09-07,2-HIGH
374,500,F,20309.68,1996-11-06,5-LOW
375,583,F,39943.57,1998-07-02,2-HIGH
376,43,O,85844.0,1997-06-27,5-LOW
377,320,P,72625.66,1993-04-03,2-HIGH
378,776,F,53853.63,1992-02-02,2-HIGH
379,110,P,40836.53,1996-09-12,4-NOT SPECIFIED
380,752,O,97182.04,1992-01-28,5-LOW
381,307,P,85516.19,1995-10-15,4-NOT SPECIFIED
382,164,F,3030.73,1992-07-01,2-HIGH
383,291,P,92144.57,1993-04-18,2-HIGH
384,739,F,44008.31,1992-12-17,5-LOW
385,656,O,8954.07,1992-10-10,3-MEDIUM
386,468,O,79440.1,1992-08-28,1-URGENT
387,464,F,65534.47,1993-12-08,3-MEDIUM
388,127,F,20530.0,1995-08-08,3-MEDIUM
389,202,O,34566.46,1994-10-06,4-NOT SPECIFIED
390,203,P,68637.11,1993-03-05,3-MEDIUM
391,768,P,84441.53,1998-02-01,3-MEDIUM
392,751,P,64597.18,1993-11-14,5-LOW
393,674,F,20091.1,1992-04-04,3-MEDIUM
394,639,O,25073.64,1996-09-13,5-LOW
395,73,P,58610.06,1995-03-01,1-URGENT
396,248,F,75473.66,1993-11-26,2-HIGH
397,407,P,70857.43,1992-03-25,1-URGENT
398,637,P,91412.42,1997-08-01,2-HIGH
399,483,F,12172.34,1996-04-23,2-HIGH
400,350,F,32769.03,1996-05-14,1-URGENT
401,969,F,34400.54,1995-11-09,2-HIGH
402,564,O,88509.41,1993-08-10,4-NOT SPECIFIED
403,997,O,33845.67,1997-09-16,2-HIGH
404,606,O,39962.01,1998-11-04,3-MEDIUM
405,943,O,59163.78,1997-04-10,1-URGENT
406,388,O,35544.76,1996-11-20,3-MEDIUM
407,340,F,29613.45,1992-06-15,2-HIGH
408,330,O,35744.33,1998-02-06,4-NOT SPECIFIED
409,152,P,19137.14,1994-10-10,2-HIGH
410,877,O,18381.99,1993-07-23,1-URGENT
411,201,O,83485.45,1993-03-21,1-URGENT
412,907,P,95262.35,1997-09-06,3-MEDIUM
413,733,P,85958.33,1993-12-07,5-LOW
414,80,P,84001.66,1993-12-07,5-LOW
415,929,P,63368.22,1998-01-06,2-HIGH
416,142,O,54210.83,1998-06-01,3-MEDIUM
417,444,F,49638.41,1996-11-01,1-URGENT
418,97,O,90509.69,1997-08-28,3-MEDIUM
419,306,O,54458.49,1997-05-09,3-MEDIUM
420,304,F,60138.01,1992-12-10,5-LOW
421,248,P,58735.97,1994-05-25,5-LOW
422,184,O,57948.91,1992-06-27,4-NOT SPECIFIED
423,680,P,18859.59,1994-10-22,4-NOT SPECIFIED
424,400,F,28573.86,1997-06-02,1-URGENT
425,552,P,82487.23,1993-01-05,1-URGENT
426,310,O,9690.33,1998-10-26,5-LOW
427,932,F,51475.87,1995-01-28,4-NOT SPECIFIED
428,356,F,66763.52,1997-09-27,3-MEDIUM
429,268,P,31524.75,1998-11-25,1-URGENT
430,739,P,97468.2,1998-08-03,4-NOT SPECIFIED
431,776,F,32308.07,1996-07-09,4-NOT SPECIFIED
432,420,P,72515.66,1995-06-17,5-LOW
433,21,F,59080.96,1993-01-18,1-URGENT
434,718,F,98318.34,1992-12-08,4-NOT SPECIFIED
435,756,F,22044.59,1995-02-25,2-HIGH
436,645,O,35806.63,1993-05-02,4-NOT SPECIFIED
437,469,P,46146.61,1995-03-09,3-MEDIUM
438,585,F,94637.49,1994-09-14,1-URGENT
439,118,P,47635.72,1998-03-21,2-HIGH
440,525,F,37715.89,1994-07-06,5-LOW
441,647,F,84305.47,1994-06-22,1-URGENT
442,87,P,95525.3,1994-11-17,2-HIGH
443,978,P,51119.97,1998-07-13,4-NOT SPECIFIED
444,856,F,55069.85,1993-09-21,4-NOT SPECIFIED
445,538,P,20572.27,1998-10-27,3-MEDIUM
446,603,P,87634.79,1993-08-22,5-LOW
447,948,P,59494.85,1995-11-08,5-LOW
448,782,P,96431.8,1998-03-18,4-NOT SPECIFIED
449,423,P,88884.41,1997-11-25,2-HIGH
450,533,F,11860.8,1994-05-21,1-URGENT
451,312,O,93930.66,1995-04-24,4-NOT SPECIFIED
452,930,O,89708.66,1997-07-27,5-LOW
453,172,P,76957.45,1997-03-28,1-URGENT
454,36,F,35146.91,1994-11-11,2-HIGH
455,195,O,31659.07,1992-09-06,4-NOT SPECIFIED
456,37,P,85532.87,1993-03-28,1-URGENT
457,606,F,29628.0,1992-08-13,1-URGENT
458,688,F,93761.11,1992-05-17,3-MEDIUM
459,892,O,29241.82,1992-03-11,4-NOT SPECIFIED
460,395,F,21062.61,1997-06-08,2-HIGH
461,60,F,82713.62,1997-05-14,1-URGENT
462,633,F,28622.05,1995-10-02,5-LOW
463,3,O,46100.12,1995-10-19,3-MEDIUM
464,14,F,70739.79,1995-05-03,3-MEDIUM
465,779,P,16185.83,1995-01-16,3-MEDIUM
466,457,O,58654.63,1996-04-09,4-NOT SPECIFIED
467,597,O,9967.32,1993-06-09,4-NOT SPECIFIED
468,631,P,49732.86,1994-04-01,3-MEDIUM
469,76,F,90621.69,1992-07-20,3-MEDIUM
470,494,F,31033.81,1995-10-11,3-MEDIUM
471,912,F,53371.13,1998-03-03,5-LOW
472,349,P,27322.42,1998-07-15,3-MEDIUM
473,995,P,99172.7,1992-10-02,4-NOT SPECIFIED
474,605,P,25713.68,1993-01-01,5-LOW
475,515,P,28099.98,1997-04-14,2-HIGH
476,956,P,94596.11,1993-03-05,1-URGENT
477,567,F,13655.35,1994-12-12,2-HIGH
478,605,F,57793.3,1993-11-02,2-HIGH
479,457,P,18172.35,1997-04-13,5-LOW
480,173,P,40891.46,1996-12-24,1-URGENT
481,570,F,73221.5,1998-01-16,5-LOW
482,826,P,41005.28,1998-11-03,1-URGENT
483,331,O,6978.75,1994-12-22,4-NOT SPECIFIED
484,537,P,33185.91,1998-01-10,5-LOW
485,951,P,9745.89,1996-10-27,5-LOW
486,601,O,16004.28,1995-11-17,1-URGENT
487,353,O,65645.82,1997-07-15,1-URGENT
488,879,P,58376.69,1996-12-11,3-MEDIUM
489,106,O,93840.28,1997-08-04,4-NOT SPECIFIED
490,441,O,14655.34,1996-05-27,4-NOT SPECIFIED
491,729,F,93732.05,1996-03-06,3-MEDIUM
492,209,O,17159.89,1998-10-10,1-URGENT
493,532,F,31242.64,1998-05-25,4-NOT SPECIFIED
494,203,F,9165.02,1994-06-12,5-LOW
495,422,F,27995.46,1993-09-12,1-URGENT
496,727,P,38409.95,1993-04-04,2-HIGH
497,290,O,35633.16,1994-01-11,5-LOW
498,6,P,99325.12,1992-09-02,1-URGENT
499,696,O,15265.98,1998-01-02,3-MEDIUM
500,951,P,6202.19,1994-01-26,4-NOT SPECIFIED
501,928,P,87385.45,1997-08-16,3-MEDIUM
502,845,P,48398.97,1998-05-27,3-MEDIUM
503,188,F,95958.4,1998-02-26,5-LOW
504,791,O,29582.99,1997-08-09,4-NOT SPECIFIED
505,491,P,94075.58,1992-11-18,5-LOW
506,346,O,89204.04,1994-05-01,5-LOW
507,836,P,23131.31,1995-06-13,3-MEDIUM
508,930,O,18683.21,1996-12-08,4-NOT SPECIFIED
509,178,F,85037.72,1992-11-12,5-LOW
510,159,P,92090.68,1993-05-16,4-NOT SPECIFIED
511,122,P,96516.1,1992-09-11,4-NOT SPECIFIED
512,197,P,16531.88,1996-02-02,3-MEDIUM
513,177,F,26467.58,1993-07-08,3-MEDIUM
514,293,O,42306.1,1993-08-19,5-LOW
515,961,F,45286.02,1993-01-12,5-LOW
516,992,O,19539.33,1992-11-08,3-MEDIUM
517,469,P,36153.19,1998-12-20,3-MEDIUM
518,583,P,97524.48,1997-12-07,5-LOW
519,41,P,24681.22,1996-01-14,3-MEDIUM
520,575,P,64038.5,1998-11-09,2-HIGH
521,627,O,25542.56,1994-02-21,5-LOW
522,431,O,79722.77,1995-11-10,1-URGENT
523,870,P,70632.85,1995-10-12,2-HIGH
524,645,O,5864.52,1997-12-10,1-URGENT
525,670,O,70151.68,1995-12-12,3-MEDIUM
