p_partkey,p_name,p_brand,p_size,p_retailprice
76,olive bolt #76,Brand#55,5,975.71
77,olive gasket #77,Brand#44,24,121.2
78,maroon bolt #78,Brand#41,19,1005.87
79,red coupling #79,Brand#43,3,1822.26
80,navy bracket #80,Brand#33,36,223.22
81,olive spindle #81,Brand#22,47,1170.91
82,plum bolt #82,Brand#52,17,752.59
83,khaki flange #83,Brand#14,12,556.69
84,ivory gear #84,Brand#23,35,1050.12
85,plum gear #85,Brand#15,20,1117.0
86,blue coupling #86,Brand#15,36,442.59
87,navy gear #87,Brand#21,18,454.99
88,maroon bracket #88,Brand#55,43,403.32
89,khaki sprocket #89,Brand#32,40,1855.51
90,ivory coupling #90,Brand#25,48,1099.22
91,maroon gasket #91,Brand#22,37,263.9
92,olive washer #92,Brand#22,48,981.55
93,green flange #93,Brand#45,18,1201.83
94,plum coupling #94,Brand#12,16,1011.04
95,olive spindle #95,Brand#23,28,907.24
96,ivory sprocket #96,Brand#32,27,1527.18
97,khaki gasket #97,Brand#15,38,742.1
98,ivory washer #98,Brand#24,19,1277.43
99,ivory bracket #99,Brand#15,7,947.9
100,olive coupling #100,Brand#22,49,445.18
101,maroon gasket #101,Brand#23,29,878.02
102,lavender sprocket #102,Brand#32,6,217.43
103,blue widget #103,Brand#21,10,1950.39
104,plum widget #104,Brand#24,26,227.32
105,plum washer #105,Brand#41,10,1451.42
106,maroon coupling #106,Brand#51,26,742.37
107,lavender bolt #107,Brand#12,16,990.29
108,olive gear #108,Brand#15,25,1878.41
109,red flange #109,Brand#43,7,1735.05
110,khaki flange #110,Brand#32,20,352.43
111,maroon spindle #111,Brand#32,29,1660.5
112,plum flange #112,Brand#53,18,438.31
113,lavender gear #113,Brand#54,36,1746.21
114,ivory gear #114,Brand#23,28,665.52
115,ivory washer #115,Brand#25,44,790.9
116,olive washer #116,Brand#21,13,771.63
117,olive gasket #117,Brand#13,5,889.07
118,navy gear #118,Brand#53,40,891.45
119,blue washer #119,Brand#34,5,1982.56
120,navy flange #120,Brand#14,39,901.4
121,red spindle #121,Brand#52,26,717.4
122,green bracket #122,Brand#42,33,469.12
123,lavender gasket #123,Brand#43,20,1957.7
124,plum gasket #124,Brand#42,35,1842.31
125,olive washer #125,Brand#34,13,871.65
126,blue flange #126,Brand#42,8,1576.9
127,red spindle #127,Brand#45,31,720.11
128,blue sprocket #128,Brand#13,47,442.84
129,plum spindle #129,Brand#23,32,1939.98
130,green gear #130,Brand#25,33,1956.29
131,navy bolt #131,Brand#51,28,1589.99
132,blue coupling #132,Brand#15,38,279.46
133,blue bracket #133,Brand#35,13,565.77
134,maroon coupling #134,Brand#44,48,331.65
135,navy widget #135,Brand#45,45,1235.89
136,plum sprocket #136,Brand#54,28,1370.79
137,ivory coupling #137,Brand#32,39,71.19
138,green widget #138,Brand#31,39,562.66
139,plum widget #139,Brand#12,48,391.25
140,maroon gasket #140,Brand#52,45,1061.51
141,green spindle #141,Brand#35,33,105.66
142,ivory bolt #142,Brand#11,41,717.52
143,lavender spindle #143,Brand#14,5,565.67
144,red sprocket #144,Brand#43,25,1368.92
145,olive bracket #145,Brand#32,34,1247.16
146,red washer #146,Brand#11,44,118.61
147,ivory gasket #147,Brand#43,25,654.9
148,khaki widget #148,Brand#22,24,1207.72
149,khaki bolt #149,Brand#14,28,389.33
150,navy gasket #150,Brand#24,12,1189.55
151,olive bolt #151,Brand#51,10,1372.87
152,khaki widget #152,Brand#54,40,1975.19
153,lavender coupling #153,Brand#14,10,1898.01
154,olive gasket #154,Brand#32,34,1359.31
155,navy gasket #155,Brand#25,42,1385.28
156,navy spindle #156,Brand#31,37,197.34
157,olive bracket #157,Brand#34,14,1536.05
158,green bracket #158,Brand#22,5,1613.75
159,maroon bracket #159,Brand#25,32,246.4
160,plum flange #160,Brand#13,17,1458.88
161,khaki spindle #161,Brand#41,49,1873.44
162,lavender gasket #162,Brand#35,50,965.68
163,maroon widget #163,Brand#32,2,1563.93
164,maroon widget #164,Brand#34,22,1985.55
165,khaki spindle #165,Brand#11,49,1156.26
166,olive bracket #166,Brand#41,15,92.14
167,maroon spindle #167,Brand#22,29,1194.35
168,olive gasket #168,Brand#42,49,1108.7
169,plum gear #169,Brand#41,2,1250.67
170,khaki gear #170,Brand#14,36,1782.38
171,olive sprocket #171,Brand#21,48,165.75
172,lavender flange #172,Brand#15,41,865.71
173,blue flange #173,Brand#24,20,1795.56
174,khaki gear #174,Brand#33,44,57.36
175,plum bolt #175,Brand#14,44,1378.68
176,plum washer #176,Brand#35,8,1743.28
177,red bolt #177,Brand#13,16,474.86
178,plum spindle #178,Brand#55,32,1647.05
179,maroon flange #179,Brand#34,39,1459.5
180,ivory washer #180,Brand#25,40,527.46
181,red flange #181,Brand#12,44,748.3
182,ivory gasket #182,Brand#54,41,808.1
183,blue widget #183,Brand#43,15,488.84
184,navy spindle #184,Brand#51,37,637.24
185,blue bracket #185,Brand#35,48,1818.42
186,plum bolt #186,Brand#44,32,508.11
187,maroon sprocket #187,Brand#52,50,138.8
188,olive spindle #188,Brand#43,49,1587.82
189,khaki gear #189,Brand#51,37,466.72
190,plum flange #190,Brand#11,39,697.8
191,blue bracket #191,Brand#21,23,102.42
192,green washer #192,Brand#23,39,1894.03
193,ivory washer #193,Brand#11,41,1361.67
194,navy gasket #194,Brand#54,48,555.78
195,green sprocket #195,Brand#33,39,569.88
196,ivory sprocket #196,Brand#42,36,1184.86
197,blue coupling #197,Brand#42,7,1995.53
198,olive widget #198,Brand#31,2,823.83
199,plum gasket #199,Brand#52,8,430.04
200,red coupling #200,Brand#42,2,1504.2
201,blue gasket #201,Brand#14,30,304.59
202,lavender bolt #202,Brand#14,44,944.95
203,plum widget #203,Brand#22,33,436.51
204,maroon gasket #204,Brand#41,21,1262.28
205,green gasket #205,Brand#54,38,1160.47
206,blue gasket #206,Brand#43,8,1560.28
207,maroon sprocket #207,Brand#12,29,1105.0
208,ivory flange #208,Brand#11,31,333.02
209,lavender washer #209,Brand#14,44,1874.26
210,khaki spindle #210,Brand#44,38,153.13
211,red washer #211,Brand#22,49,189.86
212,lavender bolt #212,Brand#34,21,500.99
213,khaki bracket #213,Brand#24,34,906.42
214,ivory washer #214,Brand#52,25,273.17
215,blue washer #215,Brand#12,44,1438.81
216,green gear #216,Brand#53,33,1158.94
217,olive gasket #217,Brand#55,36,745.64
218,ivory widget #218,Brand#43,19,549.01
219,maroon flange #219,Brand#25,35,275.87
220,red washer #220,Brand#25,43,463.25
221,blue gasket #221,Brand#34,44,1585.49
222,plum flange #222,Brand#24,49,677.1
223,khaki sprocket #223,Brand#21,1,1394.81
224,plum flange #224,Brand#42,14,912.03
225,khaki gasket #225,Brand#41,9,897.46
226,red coupling #226,Brand#45,36,1185.93
227,khaki sprocket #227,Brand#13,3,1382.09
228,ivory sprocket #228,Brand#15,32,653.81
229,plum spindle #229,Brand#55,28,639.24
230,lavender spindle #230,Brand#34,9,1255.69
231,khaki gear #231,Brand#21,3,288.01
232,navy sprocket #232,Brand#42,34,1229.86
233,maroon washer #233,Brand#33,21,954.86
234,red sprocket #234,Brand#31,31,1256.78
235,blue coupling #235,Brand#33,22,674.9
236,green bracket #236,Brand#43,40,734.61
237,navy coupling #237,Brand#11,17,1920.13
238,red widget #238,Brand#42,37,304.99
239,maroon gear #239,Brand#53,1,410.38
240,red flange #240,Brand#51,49,277.46
241,olive washer #241,Brand#45,34,1852.08
242,green bolt #242,Brand#21,17,1180.56
243,ivory gasket #243,Brand#24,16,1334.89
244,khaki widget #244,Brand#23,32,1909.34
245,plum widget #245,Brand#53,2,551.22
246,green bolt #246,Brand#52,30,827.24
247,plum bracket #247,Brand#11,26,860.93
248,red gear #248,Brand#33,19,567.95
249,khaki flange #249,Brand#55,9,1488.27
250,navy bolt #250,Brand#51,18,1117.5
251,lavender spindle #251,Brand#11,29,1732.24
252,plum washer #252,Brand#33,49,1579.99
253,lavender spindle #253,Brand#53,21,579.7
254,blue flange #254,Brand#45,32,1858.31
255,plum coupling #255,Brand#33,2,1691.3
256,khaki widget #256,Brand#52,5,177.3
257,red gear #257,Brand#52,43,1813.16
258,blue bolt #258,Brand#53,17,1372.44
259,lavender flange #259,Brand#12,24,1159.52
260,plum widget #260,Brand#25,20,679.45
261,navy gear #261,Brand#21,46,1000.17
262,ivory spindle #262,Brand#23,44,1509.32
263,red gear #263,Brand#21,5,1876.67
264,blue spindle #264,Brand#53,13,1022.39
265,navy bracket #265,Brand#11,44,1658.4
266,blue coupling #266,Brand#23,23,1583.38
267,lavender bolt #267,Brand#23,27,847.99
268,lavender coupling #268,Brand#15,47,331.19
269,red gasket #269,Brand#11,20,1125.63
270,olive washer #270,Brand#51,19,1380.1
271,maroon bracket #271,Brand#14,30,410.05
272,maroon washer #272,Brand#52,17,1738.16
273,lavender bolt #273,Brand#41,20,280.94
274,green washer #274,Brand#55,27,1197.36
275,lavender bolt #275,Brand#43,21,121.91
276,lavender flange #276,Brand#55,46,875.41
277,navy spindle #277,Brand#22,22,826.1
278,maroon bolt #278,Brand#21,18,1370.06
279,green gasket #279,Brand#53,29,1210.1
280,khaki gasket #280,Brand#52,12,1746.16
281,lavender sprocket #281,Brand#13,42,1940.91
282,red flange #282,Brand#32,26,1817.54
283,navy sprocket #283,Brand#21,13,1224.0
284,blue gear #284,Brand#33,29,1722.36
285,olive bracket #285,Brand#42,7,1694.68
286,red coupling #286,Brand#31,28,1296.98
287,navy sprocket #287,Brand#33,28,886.21
288,plum coupling #288,Brand#35,19,885.62
289,blue washer #289,Brand#14,15,1571.66
290,lavender bolt #290,Brand#21,1,1981.95
291,khaki widget #291,Brand#21,3,982.11
292,red gasket #292,Brand#25,31,264.17
293,maroon gasket #293,Brand#11,17,428.21
294,maroon washer #294,Brand#42,38,1853.27
295,blue bracket #295,Brand#14,19,544.75
296,navy gasket #296,Brand#22,10,1212.15
297,navy spindle #297,Brand#54,19,517.95
298,lavender coupling #298,Brand#15,31,425.79
299,red spindle #299,Brand#31,3,1272.9
300,red flange #300,Brand#13,6,252.77
301,olive sprocket #301,Brand#53,19,1267.34
302,green sprocket #302,Brand#43,40,119.32
303,lavender gear #303,Brand#14,27,94.55
304,navy gasket #304,Brand#53,37,1250.73
305,ivory flange #305,Brand#33,18,520.44
306,maroon bolt #306,Brand#22,45,1168.04
307,olive widget #307,Brand#21,7,952.03
308,khaki washer #308,Brand#12,10,1187.28
309,maroon coupling #309,Brand#15,4,1966.5
310,ivory washer #310,Brand#33,34,674.62
311,maroon widget #311,Brand#35,39,1847.77
312,plum coupling #312,Brand#23,50,1503.47
313,lavender spindle #313,Brand#24,13,971.24
314,khaki coupling #314,Brand#25,35,1902.65
315,red widget #315,Brand#54,48,432.63
316,maroon flange #316,Brand#25,9,364.34
317,green washer #317,Brand#14,31,1810.74
318,ivory bolt #318,Brand#55,27,1719.29
319,green coupling #319,Brand#15,26,1688.49
320,maroon coupling #320,Brand#51,22,355.19
321,green widget #321,Brand#21,46,1061.04
322,maroon washer #322,Brand#53,11,1703.75
323,lavender sprocket #323,Brand#25,28,328.86
324,plum sprocket #324,Brand#42,12,254.24
325,lavender bolt #325,Brand#52,9,743.2
326,navy sprocket #326,Brand#55,42,657.09
327,lavender washer #327,Brand#23,28,1067.28
328,olive bolt #328,Brand#51,46,1468.42
329,blue flange #329,Brand#55,37,627.0
330,maroon widget #330,Brand#25,2,1628.82
331,ivory widget #331,Brand#34,10,268.31
332,maroon gasket #332,Brand#11,16,1902.8
333,ivory bracket #333,Brand#43,15,1201.63
334,blue widget #334,Brand#31,39,1121.92
335,maroon flange #335,Brand#23,5,1411.93
336,lavender gear #336,Brand#33,38,1450.9
337,green flange #337,Brand#55,49,743.33
338,olive flange #338,Brand#33,27,64.38
339,green coupling #339,Brand#32,23,1255.44
340,blue washer #340,Brand#21,10,1828.38
341,blue widget #341,Brand#15,43,1948.49
342,green washer #342,Brand#44,42,1391.3
343,navy flange #343,Brand#44,38,1163.36
344,navy spindle #344,Brand#25,47,1224.42
345,navy washer #345,Brand#31,19,1074.8
346,khaki flange #346,Brand#11,33,1910.38
347,blue widget #347,Brand#23,25,878.29
348,red bolt #348,Brand#11,41,1571.2
349,blue coupling #349,Brand#44,21,597.67
350,olive flange #350,Brand#32,31,1541.29
351,olive bracket #351,Brand#53,37,1609.73
352,lavender spindle #352,Brand#44,22,440.26
353,navy gear #353,Brand#34,38,474.78
354,olive widget #354,Brand#11,22,804.95
355,olive bracket #355,Brand#15,47,835.26
356,ivory washer #356,Brand#55,49,755.49
357,red gasket #357,Brand#25,20,1495.65
358,plum widget #358,Brand#35,12,1270.43
359,navy coupling #359,Brand#35,6,733.57
360,green bracket #360,Brand#55,13,239.22
361,red flange #361,Brand#11,11,270.55
362,red widget #362,Brand#14,45,874.99
363,khaki spindle #363,Brand#43,14,291.1
364,khaki flange #364,Brand#22,49,865.92
365,navy bracket #365,Brand#11,40,951.52
366,navy gasket #366,Brand#54,15,274.61
367,lavender bolt #367,Brand#43,48,584.37
368,navy sprocket #368,Brand#12,27,1447.42
369,olive sprocket #369,Brand#53,49,540.56
370,maroon widget #370,Brand#51,31,1057.93
371,red sprocket #371,Brand#53,48,55.81
372,maroon sprocket #372,Brand#22,10,1758.81
373,lavender sprocket #373,Brand#15,44,826.45
374,olive washer #374,Brand#55,9,1592.69
375,plum spindle #375,Brand#11,8,1764.33
376,lavender spindle #376,Brand#54,35,570.78
377,ivory spindle #377,Brand#14,38,1833.92
378,blue bolt #378,Brand#15,2,976.82
379,plum spindle #379,Brand#23,45,1249.86
380,olive spindle #380,Brand#51,38,1901.19
381,plum bolt #381,Brand#12,11,760.92
382,lavender gear #382,Brand#22,33,1354.29
383,maroon flange #383,Brand#55,20,667.79
384,green spindle #384,Brand#32,6,325.27
385,red gasket #385,Brand#14,1,942.92
386,khaki washer #386,Brand#51,30,1444.38
387,lavender washer #387,Brand#11,48,1742.55
388,maroon bracket #388,Brand#15,36,588.9
389,maroon flange #389,Brand#42,30,355.66
390,navy bolt #390,Brand#52,4,58.18
391,red sprocket #391,Brand#22,17,307.18
392,lavender sprocket #392,Brand#33,30,1838.0
393,olive gear #393,Brand#52,19,753.74
394,olive widget #394,Brand#21,6,1745.57
395,ivory widget #395,Brand#23,5,632.39
396,plum gasket #396,Brand#34,26,279.89
397,navy gasket #397,Brand#35,27,1926.41
398,red coupling #398,Brand#13,4,844.3
399,navy widget #399,Brand#22,32,715.64
400,red coupling #400,Brand#14,47,1625.55
401,lavender spindle #401,Brand#24,38,1781.26
402,olive bolt #402,Brand#13,49,1482.37
403,olive gear #403,Brand#31,14,1287.26
404,plum widget #404,Brand#14,42,1736.02
405,navy flange #405,Brand#52,47,1332.93
406,green washer #406,Brand#41,15,1812.41
407,maroon spindle #407,Brand#35,28,1607.13
408,ivory flange #408,Brand#32,24,1876.89
409,navy washer #409,Brand#14,6,631.91
410,ivory spindle #410,Brand#45,32,1166.57
411,plum flange #411,Brand#22,7,512.19
412,maroon coupling #412,Brand#31,12,1035.41
413,navy bracket #413,Brand#13,31,1407.86
414,olive bracket #414,Brand#33,35,202.28
415,lavender coupling #415,Brand#31,30,138.36
416,lavender sprocket #416,Brand#12,42,1058.27
417,khaki gear #417,Brand#35,4,702.64
418,blue bolt #418,Brand#42,32,1092.74
419,ivory coupling #419,Brand#23,5,888.84
420,ivory spindle #420,Brand#54,34,103.81
421,blue flange #421,Brand#23,47,207.75
422,maroon washer #422,Brand#15,34,977.86
423,olive bolt #423,Brand#41,4,542.85
424,khaki bracket #424,Brand#45,4,1317.29
425,red bolt #425,Brand#34,10,512.53
426,ivory coupling #426,Brand#55,38,715.03
427,plum widget #427,Brand#33,48,1369.94
428,blue bracket #428,Brand#42,17,194.3
429,red sprocket #429,Brand#22,15,582.74
430,navy washer #430,Brand#33,36,155.16
431,plum gasket #431,Brand#34,37,902.56
432,ivory gear #432,Brand#15,15,1994.5
433,khaki spindle #433,Brand#34,43,1772.67
434,red gasket #434,Brand#55,5,514.05
435,maroon gear #435,Brand#44,2,915.3
436,plum flange #436,Brand#33,42,1139.47
437,green gasket #437,Brand#31,17,1007.68
438,blue coupling #438,Brand#51,19,1336.8
439,blue bolt #439,Brand#34,22,1061.91
440,olive gear #440,Brand#14,40,1328.64
441,maroon bolt #441,Brand#14,37,1706.75
442,blue washer #442,Brand#24,45,89.18
443,red bracket #443,Brand#32,44,249.55
444,green bolt #444,Brand#15,13,1101.74
445,navy coupling #445,Brand#44,13,355.12
446,ivory washer #446,Brand#24,14,1858.68
447,maroon sprocket #447,Brand#52,27,1172.38
448,plum washer #448,Brand#13,32,234.54
449,maroon sprocket #449,Brand#23,24,1099.78
450,ivory sprocket #450,Brand#32,23,202.69
451,ivory spindle #451,Brand#21,3,1146.22
452,khaki flange #452,Brand#34,18,1619.52
453,maroon bolt #453,Brand#45,22,879.8
454,maroon coupling #454,Brand#53,30,437.76
455,olive gasket #455,Brand#55,34,77.34
456,olive gasket #456,Brand#55,31,1613.28
457,red spindle #457,Brand#45,38,1718.64
458,lavender bolt #458,Brand#45,37,1013.3
459,blue bolt #459,Brand#42,27,509.07
460,blue sprocket #460,Brand#15,18,418.17
461,lavender sprocket #461,Brand#52,3,1633.96
462,green gasket #462,Brand#11,37,572.76
463,khaki sprocket #463,Brand#13,44,1094.36
464,green gasket #464,Brand#32,25,1417.9
465,navy spindle #465,Brand#52,37,1040.38
466,khaki flange #466,Brand#52,44,282.88
467,maroon gasket #467,Brand#51,24,76.95
468,green washer #468,Brand#42,24,1513.68
469,plum coupling #469,Brand#34,16,511.17
470,khaki bracket #470,Brand#54,24,665.75
471,olive washer #471,Brand#41,36,376.58
472,olive bracket #472,Brand#44,45,639.06
473,olive gasket #473,Brand#44,21,841.03
474,lavender gear #474,Brand#11,48,1026.03
475,red widget #475,Brand#43,14,364.77
476,maroon coupling #476,Brand#44,45,1563.39
477,red gasket #477,Brand#13,6,418.57
478,olive gasket #478,Brand#34,38,368.72
479,lavender flange #479,Brand#31,3,1235.46
480,plum gear #480,Brand#14,31,975.02
481,red sprocket #481,Brand#13,27,352.54
482,maroon coupling #482,Brand#31,33,383.75
483,plum coupling #483,Brand#51,49,1178.79
484,lavender gasket #484,Brand#41,2,1890.02
485,blue spindle #485,Brand#34,45,1735.84
486,khaki sprocket #486,Brand#33,26,455.63
487,ivory gear #487,Brand#32,6,1587.65
488,lavender bolt #488,Brand#13,39,1537.36
489,maroon flange #489,Brand#45,10,1831.36
490,blue coupling #490,Brand#15,13,795.09
491,navy gear #491,Brand#51,14,161.95
492,blue washer #492,Brand#22,16,1294.21
493,blue sprocket #493,Brand#31,9,1252.06
494,blue sprocket #494,Brand#45,38,1176.62
495,plum washer #495,Brand#42,13,1361.49
496,green sprocket #496,Brand#32,40,364.09
497,lavender gear #497,Brand#51,33,107.77
498,green bracket #498,Brand#22,15,194.43
499,red flange #499,Brand#22,16,1587.24
500,ivory widget #500,Brand#41,15,1590.82
501,navy sprocket #501,Brand#41,39,1373.11
502,navy bracket #502,Brand#52,34,761.93
503,olive spindle #503,Brand#53,3,1962.71
504,khaki flange #504,Brand#41,24,145.83
505,green washer #505,Brand#14,28,251.68
506,lavender washer #506,Brand#23,25,166.74
507,plum coupling #507,Brand#44,48,1881.24
508,red coupling #508,Brand#23,12,170.87
509,navy sprocket #509,Brand#22,23,1283.58
510,navy washer #510,Brand#14,29,1572.06
511,navy gasket #511,Brand#31,18,1688.8
512,blue widget #512,Brand#33,20,1295.26
513,lavender washer #513,Brand#45,41,139.6
514,maroon gasket #514,Brand#44,16,681.82
515,khaki gear #515,Brand#34,19,292.68
516,navy gear #516,Brand#21,2,1098.44
517,plum sprocket #517,Brand#42,31,928.77
518,khaki washer #518,Brand#51,8,975.66
519,plum coupling #519,Brand#23,45,392.49
520,blue bolt #520,Brand#21,36,886.59
521,lavender widget #521,Brand#22,31,1602.47
522,blue gear #522,Brand#34,3,1269.9
523,ivory flange #523,Brand#44,16,1229.57
524,khaki coupling #524,Brand#23,14,501.71
525,red sprocket #525,Brand#53,22,588.01
526,red bolt #526,Brand#32,6,203.86
527,navy spindle #527,Brand#42,29,68.68
528,blue gear #528,Brand#42,19,1915.81
529,maroon flange #529,Brand#44,43,85.23
530,red bracket #530,Brand#54,22,1947.86
531,maroon widget #531,Brand#15,24,830.42
532,green washer #532,Brand#22,50,1764.36
533,khaki coupling #533,Brand#55,25,1362.27
534,olive bracket #534,Brand#33,5,1104.95
535,red gasket #535,Brand#33,3,1991.04
536,olive coupling #536,Brand#32,15,1233.04
537,ivory gear #537,Brand#12,15,1450.19
538,green spindle #538,Brand#51,14,553.67
539,blue washer #539,Brand#53,22,509.63
540,red washer #540,Brand#24,2,119.38
541,blue coupling #541,Brand#12,12,1838.15
542,maroon coupling #542,Brand#24,41,853.76
543,green gear #543,Brand#44,11,507.04
544,red bolt #544,Brand#33,23,561.32
545,blue bracket #545,Brand#45,15,1783.1
546,navy bolt #546,Brand#13,31,1552.71
547,green coupling #547,Brand#11,46,839.44
548,plum widget #548,Brand#52,14,1520.52
549,ivory coupling #549,Brand#14,29,600.08
550,plum sprocket #550,Brand#32,12,1406.41
551,plum widget #551,Brand#55,25,573.62
552,blue gear #552,Brand#42,38,779.23
553,ivory flange #553,Brand#55,16,432.14
554,lavender bolt #554,Brand#42,26,931.29
555,plum bracket #555,Brand#13,49,406.13
556,green gasket #556,Brand#23,34,1874.07
557,ivory bracket #557,Brand#53,50,1740.48
558,lavender bracket #558,Brand#51,34,281.08
559,plum bracket #559,Brand#14,19,473.02
560,blue widget #560,Brand#43,9,1400.03
561,red gasket #561,Brand#34,41,1899.35
562,lavender bolt #562,Brand#14,39,1160.41
563,olive bolt #563,Brand#42,43,88.52
564,lavender coupling #564,Brand#42,23,1309.61
565,ivory sprocket #565,Brand#34,16,691.15
566,olive spindle #566,Brand#13,37,408.87
567,lavender gasket #567,Brand#21,39,574.27
568,blue bolt #568,Brand#24,6,690.54
569,plum bracket #569,Brand#33,47,1205.71
570,lavender widget #570,Brand#45,23,467.76
571,ivory sprocket #571,Brand#34,29,1370.88
572,khaki flange #572,Brand#54,17,1267.66
573,red washer #573,Brand#21,13,652.25
574,navy coupling #574,Brand#12,30,1223.93
575,green spindle #575,Brand#34,4,79.75
576,ivory bolt #576,Brand#34,24,1082.67
577,olive washer #577,Brand#44,26,1172.23
578,maroon bolt #578,Brand#31,38,1064.64
579,maroon bracket #579,Brand#14,24,337.19
580,lavender widget #580,Brand#22,11,467.89
581,red flange #581,Brand#25,20,1018.49
582,ivory bolt #582,Brand#25,17,1527.45
583,green bolt #583,Brand#51,2,267.41
584,green spindle #584,Brand#23,33,300.53
585,plum flange #585,Brand#44,32,1429.3
586,maroon sprocket #586,Brand#24,50,1633.79
587,plum flange #587,Brand#52,31,1511.08
588,ivory bracket #588,Brand#25,10,306.51
589,khaki gasket #589,Brand#45,21,1813.34
590,navy gear #590,Brand#35,35,1060.95
591,green bracket #591,Brand#25,18,1428.65
592,green coupling #592,Brand#44,31,1910.98
593,lavender flange #593,Brand#34,37,1947.97
594,navy widget #594,Brand#52,41,258.35
595,red widget #595,Brand#34,21,468.52
596,navy washer #596,Brand#13,29,159.86
597,red coupling #597,Brand#55,3,1681.15
598,blue bolt #598,Brand#33,41,803.09
599,ivory sprocket #599,Brand#53,48,1148.58
600,lavender flange #600,Brand#14,9,1971.02
601,lavender washer #601,Brand#44,10,927.89
602,khaki coupling #602,Brand#21,44,685.47
603,ivory coupling #603,Brand#14,31,780.26
604,navy flange #604,Brand#32,2,1809.83
605,lavender bolt #605,Brand#51,12,109.44
606,green coupling #606,Brand#12,46,1493.8
607,ivory gear #607,Brand#24,21,847.56
608,green spindle #608,Brand#34,5,605.55
609,olive bracket #609,Brand#55,33,409.52
610,plum sprocket #610,Brand#41,33,1488.4
611,plum widget #611,Brand#31,24,1923.28
612,lavender washer #612,Brand#21,41,801.19
613,ivory bolt #613,Brand#31,20,1460.24
614,navy bolt #614,Brand#11,4,1941.19
615,olive sprocket #615,Brand#45,29,1225.3
616,navy bracket #616,Brand#44,40,505.92
617,maroon sprocket #617,Brand#53,50,1831.38
618,plum gear #618,Brand#23,42,696.99
619,ivory gasket #619,Brand#13,6,1949.87
620,green coupling #620,Brand#22,34,787.58
621,red flange #621,Brand#43,18,220.35
