l_orderkey,l_partkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_shipdate,l_returnflag
78,232,2,27,7065.6,0.06,1996-10-10,A
78,285,3,49,9931.4,0.04,1992-04-28,A
79,636,1,22,4508.46,0.09,1994-03-03,N
79,715,2,44,6753.58,0.1,1997-12-23,A
79,132,3,40,8578.61,0.02,1994-09-02,N
79,777,4,10,3583.21,0.06,1995-12-09,A
80,393,1,27,5702.7,0.05,1997-11-05,N
80,747,2,50,9066.34,0.0,1994-08-27,R
81,794,1,42,6186.75,0.0,1994-08-15,N
81,33,2,29,2403.87,0.03,1998-06-14,N
82,712,1,42,1563.55,0.09,1995-02-07,N
83,677,1,10,4552.55,0.0,1995-08-05,R
83,626,2,39,710.52,0.03,1998-07-03,A
84,778,1,41,7006.46,0.0,1997-04-25,A
85,44,1,49,5046.72,0.05,1997-07-15,N
85,517,2,1,6753.39,0.07,1997-02-28,N
86,771,1,14,6067.07,0.04,1996-09-15,N
86,360,2,23,2619.38,0.06,1992-01-25,N
86,138,3,21,5873.26,0.0,1994-07-03,N
87,697,1,4,9434.12,0.07,1992-11-12,R
87,536,2,12,3764.93,0.01,1993-07-26,R
88,171,1,46,8362.21,0.03,1998-03-28,A
88,445,2,14,8956.25,0.1,1994-01-01,R
89,164,1,36,3926.18,0.01,1993-12-04,N
89,516,2,23,3775.2,0.08,1993-10-11,R
90,50,1,50,4461.7,0.01,1996-01-09,N
91,721,1,39,1633.87,0.01,1994-06-08,N
92,507,1,12,3411.74,0.05,1993-06-23,R
92,505,2,13,4899.67,0.03,1992-02-24,R
92,575,3,49,7327.31,0.08,1993-10-21,A
92,616,4,46,3099.92,0.01,1993-11-22,N
93,418,1,21,2790.34,0.07,1998-03-26,R
93,22,2,18,4071.63,0.05,1996-04-23,R
93,673,3,23,8434.29,0.09,1998-12-24,R
94,652,1,15,5568.25,0.06,1992-01-21,A
94,766,2,20,777.09,0.07,1997-02-15,R
94,451,3,16,8310.61,0.07,1997-06-01,A
94,167,4,2,6578.49,0.02,1997-08-18,N
95,33,1,2,9346.82,0.01,1993-08-14,N
95,95,2,35,6953.76,0.1,1996-05-03,N
95,506,3,24,7499.5,0.0,1994-10-15,N
96,709,1,7,6538.25,0.01,1998-03-23,R
96,454,2,41,8389.94,0.04,1996-09-27,N
97,746,1,38,1375.63,0.0,1996-01-16,A
97,384,2,2,5473.24,0.09,1997-03-25,A
98,390,1,17,2579.55,0.06,1992-06-01,A
98,195,2,25,4678.42,0.07,1995-08-08,N
98,539,3,26,5381.01,0.05,1998-02-06,N
99,254,1,28,6184.29,0.04,1998-05-24,A
99,798,2,5,8621.72,0.1,1996-01-09,R
100,39,1,9,2817.05,0.02,1992-07-07,N
100,249,2,45,8981.41,0.06,1994-02-15,A
101,13,1,18,3995.82,0.01,1997-12-25,R
101,760,2,24,5087.91,0.07,1998-07-05,R
102,577,1,31,6890.27,0.09,1996-10-14,A
102,321,2,46,2071.0,0.0,1995-05-05,R
103,240,1,2,1092.99,0.04,1993-11-11,R
103,623,2,9,8376.83,0.04,1995-01-26,A
103,389,3,35,6340.61,0.04,1996-02-23,N
103,562,4,33,3637.93,0.03,1993-01-13,A
103,6,5,17,6867.81,0.01,1998-12-15,R
104,241,1,16,6776.12,0.01,1996-02-15,R
104,412,2,32,2883.72,0.01,1997-11-12,N
104,219,3,42,5053.74,0.05,1995-04-08,R
105,593,1,8,9241.05,0.09,1996-10-15,A
106,342,1,8,4758.79,0.01,1992-12-22,A
106,408,2,5,883.4,0.03,1994-11-04,A
106,325,3,34,4734.89,0.03,1997-02-15,N
107,656,1,2,479.12,0.06,1993-02-02,N
107,124,2,28,3531.73,0.0,1998-05-26,R
108,545,1,16,757.32,0.06,1993-05-08,N
108,513,2,30,5243.56,0.01,1997-01-10,N
109,71,1,43,2616.56,0.05,1993-11-10,R
109,179,2,5,3315.06,0.02,1994-11-07,N
109,101,3,9,634.33,0.03,1996-06-05,N
110,468,1,13,946.41,0.09,1992-05-01,R
110,659,2,16,2695.27,0.06,1994-04-14,R
110,558,3,48,2946.57,0.03,1992-07-27,A
111,771,1,31,3917.44,0.07,1997-07-25,N
112,338,1,39,5337.52,0.06,1996-11-18,A
113,405,1,50,8736.37,0.08,1996-08-04,R
113,109,2,38,8227.63,0.01,1998-01-01,A
114,601,1,16,6399.43,0.09,1995-04-03,A
115,718,1,17,1616.56,0.05,1993-03-28,R
116,277,1,35,5089.77,0.1,1997-08-11,A
116,733,2,19,5981.39,0.08,1997-09-28,A
116,478,3,12,2176.75,0.06,1996-04-19,A
117,643,1,44,2204.18,0.07,1997-02-03,R
117,741,2,35,2866.8,0.04,1996-09-02,N
118,257,1,32,506.69,0.06,1993-07-04,A
118,22,2,23,3178.27,0.0,1995-07-09,N
119,208,1,23,1685.75,0.01,1998-01-14,R
120,90,1,50,7210.63,0.03,1993-01-25,N
120,244,2,24,1808.58,0.08,1997-11-26,R
121,199,1,12,9414.39,0.02,1994-02-03,A
121,327,2,33,1315.98,0.04,1998-11-09,R
122,386,1,26,899.44,0.05,1998-01-20,N
122,621,2,27,2860.22,0.04,1996-03-20,R
123,349,1,45,7854.99,0.09,1997-09-22,R
123,582,2,31,7357.31,0.06,1995-12-13,A
124,503,1,24,7599.92,0.0,1993-06-15,N
124,477,2,22,7194.79,0.01,1994-03-14,R
124,672,3,50,5566.68,0.04,1995-02-21,N
125,235,1,19,3019.19,0.04,1996-10-04,N
125,520,2,12,7349.86,0.04,1997-03-27,R
125,488,3,33,4507.22,0.01,1995-12-14,N
126,714,1,13,3511.88,0.03,1998-12-09,A
126,45,2,35,678.16,0.0,1998-05-06,R
126,433,3,8,8901.25,0.1,1993-10-26,R
127,409,1,49,4106.19,0.08,1997-09-18,A
127,227,2,5,689.17,0.02,1996-05-17,N
128,585,1,5,2928.9,0.09,1997-06-03,R
129,361,1,28,2835.06,0.04,1995-06-10,R
130,523,1,25,173.06,0.09,1995-09-05,A
131,768,1,3,8011.37,0.0,1995-09-28,R
132,178,1,11,351.78,0.08,1998-07-12,N
133,593,1,25,1285.33,0.0,1994-02-16,A
133,189,2,38,5230.14,0.1,1994-08-21,A
134,752,1,32,4759.33,0.0,1993-11-24,A
134,123,2,44,3971.85,0.05,1996-01-11,R
134,33,3,32,278.51,0.05,1992-01-04,R
135,525,1,18,761.42,0.04,1992-04-19,N
135,672,2,20,4915.37,0.01,1994-03-03,N
136,202,1,32,2413.61,0.03,1995-05-02,A
137,266,1,19,7970.34,0.1,1993-04-02,A
137,165,2,9,4096.89,0.02,1992-02-15,N
138,253,1,5,2138.96,0.07,1992-09-09,A
139,23,1,27,8576.04,0.0,1997-01-17,R
139,583,2,22,8391.96,0.03,1998-12-27,A
140,646,1,7,4606.33,0.09,1996-07-03,N
141,65,1,49,7591.01,0.03,1997-07-28,N
142,530,1,16,7443.78,0.1,1993-11-06,R
143,618,1,34,7287.12,0.07,1995-02-26,R
143,395,2,18,8373.11,0.09,1997-12-10,N
143,27,3,3,7738.03,0.0,1996-12-21,N
144,23,1,39,2865.36,0.01,1995-06-02,N
144,205,2,20,691.28,0.02,1997-01-05,N
145,665,1,1,683.43,0.06,1996-07-01,A
145,372,2,47,7285.72,0.04,1993-05-12,R
146,294,1,9,4478.86,0.1,1997-03-25,N
146,594,2,1,6319.39,0.1,1996-07-10,N
147,95,1,36,242.84,0.01,1994-04-01,R
148,379,1,3,109.56,0.08,1996-04-01,N
149,263,1,14,9606.57,0.02,1993-08-02,N
149,782,2,7,805.99,0.06,1993-02-18,R
150,685,1,12,8753.15,0.06,1995-07-27,A
150,720,2,8,6092.43,0.05,1997-10-25,A
151,477,1,29,4865.77,0.01,1992-11-16,N
151,628,2,22,1679.18,0.02,1992-11-19,R
151,394,3,49,4047.56,0.01,1995-04-25,A
152,613,1,17,3180.46,0.03,1996-10-04,N
152,361,2,48,6050.75,0.0,1996-09-03,R
152,93,3,6,4822.17,0.02,1995-11-28,R
152,563,4,48,1503.45,0.08,1998-01-17,A
153,355,1,6,5405.43,0.05,1993-02-03,A
154,68,1,48,8260.78,0.0,1997-04-21,A
155,690,1,33,107.56,0.06,1993-10-23,R
155,222,2,35,9055.81,0.08,1995-02-08,R
155,337,3,46,5219.7,0.0,1992-01-15,N
155,607,4,21,1765.78,0.04,1996-11-18,R
155,533,5,45,5876.75,0.08,1998-05-13,R
156,438,1,31,4203.18,0.07,1997-08-13,N
156,589,2,1,9976.65,0.06,1992-05-28,N
157,262,1,10,1784.18,0.02,1998-05-03,R
158,368,1,9,6860.07,0.01,1995-02-23,R
158,404,2,18,224.23,0.06,1992-02-01,A
159,213,1,50,7421.02,0.1,1995-01-22,R
160,501,1,10,5774.1,0.01,1992-07-24,N
160,307,2,22,9509.12,0.04,1995-11-12,N
160,115,3,23,1510.66,0.06,1992-11-04,R
160,674,4,31,4985.18,0.06,1996-09-13,N
161,570,1,22,9325.19,0.0,1996-05-27,A
162,147,1,24,6892.41,0.1,1997-06-06,R
162,467,2,15,7629.28,0.09,1994-09-28,N
163,551,1,20,5293.2,0.0,1998-12-04,N
163,207,2,10,439.11,0.06,1994-08-11,A
163,641,3,16,1140.1,0.0,1992-10-26,N
163,791,4,48,9949.39,0.04,1996-09-04,A
163,157,5,27,8664.63,0.02,1992-10-01,A
164,558,1,21,4847.21,0.07,1993-09-27,A
164,206,2,20,1069.1,0.04,1997-07-01,R
164,124,3,2,8917.92,0.07,1995-01-23,R
165,169,1,42,5442.32,0.02,1994-10-03,A
165,76,2,6,907.69,0.0,1993-07-27,R
166,637,1,40,1677.98,0.04,1996-09-28,R
166,270,2,14,5071.28,0.1,1996-02-26,R
166,256,3,29,5230.95,0.09,1996-08-01,A
166,564,4,22,1668.32,0.01,1994-07-08,N
167,169,1,22,9773.74,0.03,1996-04-20,A
168,474,1,15,2032.53,0.06,1992-04-19,N
169,391,1,44,9475.55,0.02,1998-10-05,N
170,637,1,50,1467.86,0.08,1996-08-04,N
170,117,2,9,3169.17,0.09,1995-07-02,N
171,646,1,18,6528.64,0.03,1998-01-24,N
171,762,2,30,2092.66,0.02,1992-08-09,N
171,24,3,47,5341.05,0.0,1992-02-16,A
172,408,1,25,396.84,0.03,1994-11-24,N
173,290,1,27,9659.35,0.01,1997-09-11,R
173,392,2,38,6970.15,0.07,1993-12-01,R
174,21,1,37,3141.39,0.0,1998-03-11,A
174,648,2,2,7953.26,0.1,1992-10-18,A
174,101,3,2,4230.43,0.05,1994-10-24,N
175,149,1,8,6460.49,0.05,1995-07-16,A
175,777,2,1,3297.88,0.06,1995-12-12,A
176,250,1,40,2972.39,0.09,1998-04-18,R
176,86,2,36,6146.57,0.07,1994-10-21,A
177,566,1,12,487.38,0.02,1994-12-28,N
178,507,1,38,5928.81,0.06,1995-02-23,A
178,217,2,27,1974.77,0.08,1995-06-20,R
179,338,1,7,6636.78,0.05,1996-10-23,R
180,139,1,46,5488.65,0.08,1992-05-06,A
180,702,2,40,3285.31,0.04,1993-03-08,N
181,647,1,22,5640.69,0.07,1995-05-06,R
182,639,1,18,2338.9,0.09,1993-06-15,N
183,251,1,14,7683.57,0.08,1994-06-27,A
183,276,2,41,8140.75,0.02,1993-02-22,A
183,89,3,45,3891.54,0.05,1997-05-08,N
184,327,1,48,4510.88,0.06,1994-09-03,R
185,341,1,42,9507.29,0.02,1998-12-21,A
186,128,1,37,5488.05,0.07,1995-10-28,A
186,24,2,32,6498.41,0.09,1993-05-09,R
187,378,1,30,4726.01,0.06,1993-04-09,A
187,710,2,36,2052.67,0.09,1992-04-16,N
188,114,1,39,9792.92,0.04,1996-12-08,A
188,575,2,49,8736.77,0.1,1996-12-02,A
189,729,1,28,8235.07,0.01,1997-07-28,A
190,282,1,42,4123.14,0.03,1994-07-03,R
190,236,2,35,9230.02,0.09,1996-11-13,N
191,187,1,24,4849.53,0.04,1995-07-03,N
191,732,2,14,4459.84,0.07,1998-12-04,R
192,772,1,31,5326.14,0.07,1994-11-25,R
192,614,2,29,3057.77,0.0,1998-05-18,N
193,740,1,16,2887.27,0.04,1996-11-14,R
194,570,1,15,8884.04,0.03,1992-01-04,R
195,171,1,30,131.8,0.07,1993-01-20,R
196,250,1,22,8487.94,0.07,1997-07-15,R
196,419,2,5,4092.0,0.03,1998-12-18,R
196,739,3,32,8421.34,0.1,1992-04-11,N
196,457,4,17,821.19,0.1,1994-08-10,A
197,780,1,34,9450.53,0.09,1992-11-28,R
198,446,1,21,5329.61,0.04,1993-08-19,A
198,619,2,18,8041.7,0.06,1997-11-22,A
199,462,1,2,807.47,0.05,1998-09-19,N
199,420,2,12,6304.21,0.05,1993-03-20,A
200,295,1,39,7691.78,0.07,1998-12-14,N
200,67,2,44,1311.39,0.03,1998-10-16,R
200,637,3,6,2991.33,0.05,1992-11-27,R
201,776,1,3,2219.66,0.02,1992-07-17,R
201,670,2,19,8353.92,0.04,1998-07-21,A
201,346,3,13,5085.59,0.08,1994-09-05,R
202,591,1,30,5503.59,0.01,1997-06-21,R
203,669,1,36,1572.17,0.05,1994-11-01,A
203,445,2,39,4992.82,0.01,1998-02-20,N
204,521,1,34,2136.09,0.04,1998-07-25,N
205,154,1,6,6916.56,0.05,1993-08-25,R
205,60,2,19,2346.68,0.06,1997-10-18,N
205,304,3,32,4930.27,0.02,1995-05-18,R
206,476,1,3,9625.19,0.09,1998-11-18,R
206,16,2,46,5225.28,0.07,1995-01-23,N
206,390,3,49,3398.21,0.02,1996-03-26,A
207,570,1,32,4864.48,0.07,1998-02-25,N
208,455,1,37,1775.93,0.01,1998-07-07,R
208,628,2,16,8140.65,0.09,1998-12-21,N
209,365,1,5,4773.57,0.08,1998-11-23,N
210,298,1,31,6171.88,0.1,1992-01-22,R
210,706,2,12,1824.24,0.09,1993-06-11,N
211,554,1,36,2181.62,0.0,1994-07-10,N
212,398,1,9,9812.41,0.05,1993-07-15,N
212,690,2,31,257.74,0.06,1996-08-08,R
213,318,1,20,1086.31,0.05,1995-01-18,N
214,374,1,10,5481.06,0.1,1992-01-06,R
214,435,2,5,4054.94,0.1,1995-07-05,N
215,319,1,50,6622.89,0.1,1997-11-21,R
215,574,2,15,5386.45,0.03,1995-12-26,A
216,782,1,17,2805.86,0.03,1997-11-25,N
217,241,1,47,3487.84,0.01,1994-08-12,A
218,78,1,5,8759.44,0.09,1993-06-17,R
219,580,1,22,6173.98,0.0,1994-09-11,R
220,304,1,18,2231.06,0.03,1992-12-05,N
220,770,2,32,8370.33,0.08,1996-06-26,N
221,753,1,24,315.09,0.09,1995-10-19,A
222,507,1,25,5129.55,0.03,1993-07-11,A
222,732,2,37,4001.2,0.02,1994-05-12,R
223,233,1,29,7396.29,0.03,1992-09-14,A
224,513,1,48,233.43,0.06,1997-08-11,R
225,708,1,19,7391.46,0.03,1996-06-17,R
226,462,1,9,6692.36,0.08,1998-12-27,R
227,634,1,41,4323.89,0.03,1997-08-04,A
227,631,2,32,7509.25,0.07,1996-12-13,N
228,409,1,40,8117.17,0.07,1994-11-21,A
228,779,2,40,2008.19,0.03,1998-08-23,A
228,210,3,4,4508.3,0.09,1996-02-04,N
229,668,1,24,5415.87,0.1,1992-11-28,R
229,150,2,41,2003.05,0.01,1992-05-25,R
229,215,3,11,3129.8,0.0,1995-07-06,N
230,797,1,47,3306.41,0.02,1997-12-24,N
230,371,2,22,725.4,0.0,1996-01-20,R
230,537,3,46,5208.29,0.08,1994-08-12,A
231,262,1,27,7872.76,0.04,1995-10-14,N
232,31,1,44,5265.02,0.06,1993-07-22,R
232,379,2,18,7724.0,0.07,1998-12-07,R
233,682,1,12,1966.51,0.08,1997-11-13,N
233,640,2,35,950.8,0.05,1995-08-25,A
234,385,1,19,801.24,0.01,1995-08-09,R
234,485,2,20,6470.26,0.07,1992-05-25,A
235,761,1,7,4789.43,0.0,1997-10-24,N
236,93,1,17,2553.14,0.1,1997-10-13,A
237,664,1,6,4497.91,0.03,1998-04-18,N
237,518,2,36,9944.74,0.03,1994-06-10,R
238,254,1,3,1810.58,0.05,1998-07-08,A
238,152,2,7,4404.9,0.01,1998-03-14,R
239,490,1,11,4225.01,0.05,1993-03-03,A
239,739,2,12,6839.27,0.09,1995-08-16,A
240,97,1,10,5851.7,0.1,1998-10-25,R
241,452,1,44,3755.81,0.06,1996-01-01,A
241,322,2,2,8042.38,0.04,1997-05-17,N
242,278,1,15,5575.22,0.02,1998-02-07,N
242,52,2,35,2575.94,0.04,1995-12-09,R
242,386,3,32,2819.86,0.03,1997-10-27,A
243,69,1,30,2839.63,0.06,1992-09-12,A
243,197,2,2,4592.75,0.06,1995-05-22,N
243,39,3,47,8525.8,0.1,1992-06-21,A
243,644,4,38,2282.89,0.03,1996-11-27,R
244,695,1,34,745.84,0.08,1996-06-02,N
244,269,2,31,4156.76,0.1,1993-06-14,R
245,512,1,18,2603.91,0.07,1993-09-11,R
245,481,2,31,897.07,0.02,1994-05-01,A
246,499,1,24,5273.07,0.05,1993-11-26,A
246,197,2,25,6520.24,0.03,1995-11-08,A
247,12,1,3,5507.59,0.05,1994-01-04,N
247,3,2,41,182.99,0.03,1995-07-17,A
247,693,3,47,8044.99,0.04,1996-08-02,R
248,701,1,44,7000.96,0.07,1995-12-21,R
248,669,2,41,8653.93,0.07,1992-11-23,N
249,380,1,37,9424.59,0.0,1993-02-06,N
249,703,2,1,3313.12,0.09,1998-10-04,A
250,678,1,40,2125.19,0.03,1997-08-03,R
251,229,1,19,6805.61,0.1,1992-07-12,R
251,611,2,33,4157.69,0.09,1993-08-15,A
252,55,1,40,6823.58,0.02,1996-06-14,R
253,303,1,20,9579.76,0.07,1997-06-25,A
253,674,2,41,8289.42,0.05,1997-03-01,N
254,614,1,21,6923.14,0.0,1994-09-23,A
255,510,1,45,7886.84,0.09,1998-02-09,A
255,504,2,29,3057.52,0.04,1998-06-26,N
256,238,1,5,4070.54,0.05,1997-07-28,A
256,521,2,50,5257.58,0.0,1994-05-04,A
257,427,1,49,6533.02,0.0,1992-11-04,N
258,406,1,40,3587.14,0.1,1994-07-18,N
259,738,1,33,9433.74,0.01,1995-07-02,A
260,385,1,18,6547.67,0.06,1992-07-12,A
261,469,1,47,3495.48,0.04,1998-01-22,R
261,541,2,3,2588.7,0.09,1996-10-11,R
261,333,3,49,5384.79,0.08,1996-07-28,A
262,434,1,13,517.44,0.07,1994-02-24,R
262,571,2,10,3594.47,0.05,1998-10-12,N
263,213,1,15,562.95,0.1,1993-10-18,R
263,450,2,40,2822.16,0.04,1995-11-23,N
263,780,3,8,3231.24,0.06,1995-10-06,N
264,87,1,32,2389.38,0.09,1996-11-02,A
264,286,2,47,9553.27,0.06,1993-06-10,R
264,523,3,21,5238.04,0.01,1992-06-01,A
264,264,4,6,7394.94,0.08,1992-02-04,N
265,58,1,47,9997.29,0.03,1996-02-19,A
265,644,2,33,3778.04,0.1,1993-04-18,R
265,268,3,29,8909.73,0.1,1992-06-18,A
266,318,1,29,9891.52,0.06,1994-11-20,N
266,264,2,14,7488.92,0.04,1995-12-27,R
266,1,3,12,5029.56,0.0,1995-11-25,R
266,555,4,39,2028.76,0.1,1998-01-17,A
267,15,1,43,5421.82,0.01,1993-05-10,A
267,164,2,26,1616.96,0.08,1998-10-14,A
267,318,3,16,3564.75,0.03,1994-10-18,A
268,412,1,3,932.05,0.09,1995-08-27,R
268,481,2,19,7132.32,0.04,1992-11-10,N
269,311,1,35,7776.3,0.03,1996-08-16,R
269,259,2,43,2464.05,0.0,1993-10-07,N
270,270,1,1,1916.46,0.0,1997-10-19,N
270,648,2,44,7848.36,0.04,1996-08-15,N
270,149,3,7,368.77,0.05,1996-02-21,A
271,730,1,47,710.02,0.06,1993-02-22,A
271,192,2,41,4790.7,0.08,1997-11-13,A
272,77,1,48,5139.44,0.1,1993-06-15,A
